seed,new,old,difference
0,1794463.0939750003,1564705.0871499996,229758.00682500075
1,1646518.7996500002,1724173.9935849996,-77655.1939349994
2,1769472.1741625003,1553830.4800599995,215641.6941025008
3,1890458.2359750003,1763110.31737,127347.91860500025
4,1869177.1684950006,1773794.2315874996,95382.93690750096
5,1967029.3146050002,2284214.4694499997,-317185.15484499955
6,1971740.2481050005,1755723.7858999996,216016.46220500092
7,1733610.2182950005,2033080.3314249995,-299470.113129999
8,1758839.1386075001,1798970.5629699996,-40131.4243624995
9,2149150.5062100007,1783950.2052499999,365200.30096000084
10,1662641.2750750002,2012754.7725999996,-350113.4975249993
11,2014007.7514199999,1735194.5038749995,278813.2475450004
12,1891814.4894700008,1630681.7381749996,261132.75129500125
13,1711314.3771700005,1668991.6016999998,42322.77547000069
14,1609145.9225625002,1946612.7187749997,-337466.7962124995
15,1885615.4126200005,1450889.937825,434725.4747950006
16,1718233.3728450004,1396385.1661749997,321848.2066700007
17,1952008.9668750002,1593877.03717,358131.92970500025
18,1395578.2395200005,1670353.550324999,-274775.3108049985
19,1855755.1609200004,1588454.7922724998,267300.36864750064
20,1827341.4968450004,1676123.3152749995,151218.18157000095
21,1442244.8949550004,1319325.1787499997,122919.71620500064
22,1772439.2971700006,1457336.9532249996,315102.343945001
23,1787179.1770000004,1748435.2097749994,38743.96722500096
24,1343357.0170800001,1735242.2765349993,-391885.2594549991
25,1858137.7167700003,1601386.6958424998,256751.02092750045
26,1581690.2620300006,1829255.0934450002,-247564.83141499967
27,1808312.7731375,1704757.9984749998,103554.77466250025
28,1897993.1459300003,1650571.9455749993,247421.20035500103
29,1348769.3548850003,1719043.021775,-370273.66688999976
30,1098222.2171750003,1119056.4556249997,-20834.238449999364
31,1434725.3907200003,1702266.0396424998,-267540.6489224995
32,1626514.6051600003,1475654.5087499996,150860.0964100007
33,1775588.8458125002,2140540.5058999998,-364951.66008749953
34,1844307.2960075003,1814013.8033125,30293.492695000255
35,1237198.7378950003,1662507.1436749992,-425308.405779999
36,1853053.5954800004,1212066.5383499998,640987.0571300006
37,1625080.7425000002,1774308.6887624995,-149227.94626249932
38,1944780.94791,1711334.9921499998,233445.95576000027
39,1774909.9422450005,1590923.4192749998,183986.52297000075
40,1944441.7743625,2112716.878375,-168275.1040124998
41,1820767.4950075003,1633669.0197424993,187098.47526500095
42,1886632.6190700005,1877369.5539425,9263.065127500566
43,1259203.991645,1730285.7869049995,-471081.7952599996
44,1963351.2429200003,1913422.7868875,49928.45603250037
45,1964709.42197,1615103.1171174995,349606.30485250056
46,1977920.9343775,1764173.1218324997,213747.81254500034
47,1927305.1930700003,2173023.4250499997,-245718.23197999946
48,1916281.9092950006,1680629.3645499998,235652.54474500078
49,1873758.6899200003,1673769.9162624995,199988.77365750074
50,1888491.077925,2223752.9571374995,-335261.87921249936
51,1799989.6724450004,1537346.8539374997,262642.8185075007
52,1639867.5239249999,1558606.3840599998,81261.13986500003
53,1871634.5123700004,1772769.5863499995,98864.92602000083
54,1908633.3747200007,1741682.3717499997,166951.00297000096
55,1702007.6892200008,1587255.9186499997,114751.7705700011
56,1237133.9168950003,1815111.3499499995,-577977.4330549992
57,1536775.4504500001,1212678.3041499997,324097.1463000004
58,1361529.520435,1382568.3937249999,-21038.873289999785
59,1957333.2376550005,1772272.52755,185060.71010500053
60,1622456.2130925003,1573995.7832249994,48460.429867500905
61,1671202.9055100002,2011610.9708249995,-340408.0653149993
62,1651905.7323575,1475228.1873499998,176677.5450075001
63,1900427.0126050003,1842090.25575,58336.756855000276
64,1799078.1569,1966118.2606499998,-167040.10374999978
65,1323294.8896200003,1137002.8856999995,186292.00392000074
66,1633999.759175,1560892.4578349998,73107.30134000024
67,1709937.0989200005,1431589.9616999999,278347.1372200006
68,1165103.4607675,1127593.7955099999,37509.66525750025
69,1537108.8342175004,1341927.6667999995,195181.16741750087
70,1932605.6462450004,1742982.5084499994,189623.13779500104
71,1896219.20057,1593461.2045624994,302757.9960075007
72,1912891.1144450007,1657702.8038875,255188.3105575007
73,1771010.7453450004,2257227.5145499995,-486216.7692049991
74,1882467.6356700005,2107025.6524,-224558.01672999957
75,1798661.3137450002,1625302.7717749993,173358.54197000084
76,1878693.4022425003,1617163.3304999995,261530.07174250088
77,1833368.5286450002,2158587.5461,-325219.01745499973
78,1848097.230995,1654654.9612374997,193442.26975750038
79,1827933.7941775005,1598040.4731099997,229893.32106750086
80,1856749.8827950002,1683563.2347124997,173186.64808250056
81,1944815.7614200003,1754240.2705874997,190575.49083250063
82,1883250.8283950004,1578250.7616849996,305000.06671000086
83,1310524.4223300007,1287645.5056849997,22878.91664500092
84,2069333.661885,2365914.2858749996,-296580.6239899995
85,1826407.5026000002,1914342.676795,-87935.17419499974
86,1551681.09805,1464467.4968999994,87213.60115000047
87,1945133.9903950002,1809245.7378325,135888.2525625003
88,1761512.2799700003,1683476.5039999997,78035.77597000054
89,1835004.0008000003,1714759.1978425,120244.80295750033
90,1810799.29435,1767471.0409924996,43328.25335750054
91,1842869.1229500002,1673385.8995499997,169483.22340000048
92,1863740.23852,1624408.1589249996,239332.07959500025
93,1414399.8447,1809676.0230299998,-395276.1783299998
94,1810967.2794100002,2057001.4605999996,-246034.18118999945
95,1802738.6589000004,1750716.4303249996,52022.22857500077
96,1971628.5896450004,1676052.5880499997,295576.00159500074
97,1836599.3773200004,1781834.1593374996,54765.21798250079
98,1720314.3723375003,1469266.4881749998,251047.8841625005
99,1858597.539845,1624430.8424874998,234166.6973575002
100,2011476.3738950002,1914748.4837574996,96727.8901375006
101,1776756.6488250003,1761844.9889249997,14911.659900000552
102,1808281.6522700002,1668023.0701999997,140258.58207000047
103,1829664.9423125002,2031984.8888699997,-202319.94655749947
104,1817027.4165850002,2157967.221385,-340939.8047999996
105,1762506.0491250004,1802455.6068924998,-39949.55776749947
106,1447177.0638450005,1460382.7860449995,-13205.722199999029
107,1821922.9794875002,1893712.3963499996,-71789.41686249943
108,1808062.0884775002,2053031.4225749997,-244969.3340974995
109,1846761.7490075005,2109123.5005874997,-262361.7515799992
110,1951170.95488,1768151.68367,183019.27121000015
111,1678250.3455625002,1550485.8929499995,127764.45261250064
112,1149545.7836200001,926037.3016999996,223508.48192000051
113,1734139.3037625006,2060831.9658749995,-326692.6621124989
114,1750081.7784250004,2173134.14432,-423052.3658949996
115,1554794.8955950001,1791894.6413749997,-237099.74577999953
116,1260941.0337875,1271706.5611999994,-10765.527412499301
117,1939430.1246950005,1664919.8825624997,274510.24213250075
118,1717127.6893,1677592.7007249997,39534.988575000316
119,1882273.0037950005,1999161.0986174997,-116888.0948224992
120,1914853.3574700002,1627062.7029499998,287790.65452000033
121,1237642.4471875003,1215337.7209999997,22304.726187500637
122,1843412.8233275006,2034404.0923749993,-190991.2690474987
123,1605502.6397250001,1472836.9432999997,132665.69642500044
124,1199815.4838950003,1158260.9009499997,41554.58294500061
125,1792895.6009625003,2117809.2910450003,-324913.6900825
126,2063751.11076,2292196.6922999998,-228445.5815399997
127,1122000.4675175003,1135801.3260249996,-13800.858507499332
128,1634960.7653500002,1464659.1670124994,170301.59833750082
129,1738826.1405075002,1710989.2456774998,27836.894830000354
130,1993822.2189200006,2299313.0168174994,-305490.7978974988
131,1722352.0793950001,1516224.6778249997,206127.40157000045
132,1959656.0206700002,1680971.4805625,278684.5401075003
133,1736147.9718200006,2101941.9815249997,-365794.00970499916
134,1880769.2819050006,2252698.05502,-371928.7731149993
135,1736977.3083875,1632826.0388999993,104151.26948750066
136,1890675.12332,1616701.0039999997,273974.1193200003
137,1553152.0812250003,1773393.3137249998,-220241.23249999946
138,2087440.3698600004,1803462.1582999995,283978.2115600009
139,1695177.8299750003,1593255.8557249997,101921.97425000067
140,1880247.3113450005,1720547.6515674996,159699.6597775009
141,1705908.3657750003,1732204.5147999998,-26296.149024999468
142,1852081.2358775004,1663925.8676999998,188155.36817750055
143,1896301.59077,2249718.3409424997,-353416.7501724998
144,1747423.1432050003,1582269.9206499995,165153.2225550008
145,1703823.3424675001,2066004.6154199997,-362181.27295249957
146,1924995.19772,1751385.1566374996,173610.04108250048
147,1914125.7932625003,1658981.6309749994,255144.16228750092
148,1296796.8594025006,1193484.4977674996,103312.36163500091
149,1282399.3332625004,1624041.2875749997,-341641.9543124994
150,1189282.5835375004,1027662.4597099997,161620.12382750062
151,1870313.2763275001,1699330.4349174998,170982.84141000034
152,1696722.3953000002,1657654.1175624998,39068.27773750038
153,2018612.5433450001,1689236.5446074996,329375.9987375005
154,2017033.26357,1780170.3016774997,236862.9618925003
155,1975239.1739950003,2209669.4025424994,-234430.22854749905
156,1891935.1942200004,1898696.4917825,-6761.297562499531
157,1633977.1516250004,1114702.4433749996,519274.70825000084
158,1700568.8751875004,2101934.2764749997,-401365.40128749935
159,1747716.3644700001,1606380.0072499996,141336.3572200006
160,1915562.06115,2077266.5616199998,-161704.50046999985
161,1499041.5312750004,1319689.7033624998,179351.8279125006
162,1799191.1155200005,1732039.0234499997,67152.09207000071
163,1907613.5718950005,2091404.4732674996,-183790.90137249907
164,1907791.9185700004,1698902.0122375,208889.9063325005
165,1907460.6517000003,1769519.7880924998,137940.86360750045
166,1977050.7552700003,1777861.1642025001,199189.59106750018
167,1783615.5430700004,1503321.8136849997,280293.72938500065
168,1987791.3110775,1964070.4777624996,23720.833315000404
169,1753546.8841200003,2005518.7606124994,-251971.87649249914
170,1852820.2252875,1699242.3796499996,153577.84563750052
171,1992863.3957450003,1780037.136,212826.2597450004
172,1391531.3286125003,1622839.6029499997,-231308.2743374994
173,1865452.2099249999,1697488.0594624998,167964.15046250005
174,1538446.7083200004,1533922.0335999997,4524.6747200007085
175,1390400.8953125004,1836862.6581749998,-446461.76286249934
176,1718820.3768750003,1969240.3120499991,-250419.93517499883
177,1901421.942435,1754417.7397999996,147004.20263500046
178,2086334.3898500006,1606447.4468424998,479886.94300750084
179,1800131.8875375006,1664417.8371749998,135714.05036250083
180,1760583.8031250003,1641902.6753349998,118681.12779000052
181,1895744.1161775005,1258802.2050174999,636941.9111600006
182,2090605.24711,2110344.020395,-19738.773284999887
183,1357137.5067950005,814256.4307849995,542881.076010001
184,1906995.0142050004,1764163.419575,142831.5946300004
185,1317337.09895,1304451.0283599999,12886.070590000134
186,1799476.7690450007,1618684.5683524995,180792.20069250115
187,1267971.2722875006,1270653.4726999996,-2682.20041249902
188,1571782.7348750003,1023883.2003249996,547899.5345500007
189,1865182.5877750001,1694198.5557875,170984.03198750014
190,1709320.0739950004,1655334.1728749997,53985.90112000075
191,2077954.4106250003,1775947.0929875,302007.31763750035
192,1980390.1473200002,2102051.6033624993,-121661.45604249905
193,1831124.40115,1630003.8744624997,201120.5266875003
194,1771156.6784450002,1684580.0240374997,86576.65440750052
195,1299871.1681700002,1728927.5830749995,-429056.4149049993
196,1882271.0951750001,1718438.8409874998,163832.25418750034
197,1765965.8857700003,1516471.2880599995,249494.59771000082
198,1899019.7392850001,1775509.827325,123509.91196000017
199,1722662.2324500002,1713268.1597499996,9394.0727000006
200,1939288.0993750002,1261520.2750349997,677767.8243400005
201,1849264.0207000005,2129854.375525,-280590.3548249996
202,1731322.2170950004,2010143.7783849994,-278821.56128999894
203,1856907.4794275004,2199158.9122249996,-342251.43279749923
204,1836673.6400200003,1704239.6013249997,132434.03869500058
205,1791185.0735450005,1777514.6859974999,13670.387547500664
206,1924491.53142,1724378.0842924996,200113.44712750032
207,1736405.42735,1678686.5854249997,57718.841925000306
208,1861784.2222375006,1719802.3501999995,141981.87203750107
209,1259203.9916450002,1694195.6035799999,-434991.6119349997
210,1291404.9775950005,1225169.3022924997,66235.67530250084
211,1499868.3393750004,1829150.3550249992,-329282.0156499988
212,1783573.7029450003,1575631.0717524998,207942.63119250047
213,1654847.9403750002,1526127.3651874997,128720.57518750057
214,1305828.9617800005,1667195.2544449999,-361366.2926649994
215,1794200.9267950004,1702020.2775749997,92180.64922000072
216,1193225.7436450003,1150129.2501749997,43096.49347000057
217,1959917.6342200001,2386449.9282374997,-426532.29401749955
218,2018679.8102200003,1711988.6767825,306691.13343750034
219,1865160.73842,1620196.1860749999,244964.5523450002
220,1869024.4305425002,1755381.7712999997,113642.65924250055
221,1968844.1199950003,1696309.3035424997,272534.81645250064
222,1927685.48585,1728704.400245,198981.08560500015
223,1270640.5102000001,1297016.5389674995,-26376.028767499374
224,1821596.4806450005,2326305.6528924997,-504709.1722474992
225,1834188.8696125005,1554987.8941249999,279200.97548750066
226,1804824.9369949999,1669318.739075,135506.19791999995
227,1912042.573795,1589199.4804675,322843.09332750016
228,1818630.5462450006,1627406.0130849995,191224.53316000104
229,1871454.2483125,1581499.0622999999,289955.1860125002
230,1742550.6637675005,2151100.4124949994,-408549.7487274988
231,1891892.8973000003,1775208.0002624998,116684.89703750052
232,1869043.9233499998,1702135.6291175,166908.2942324998
233,1724887.4617450004,2105742.93623,-380855.47448499966
234,1409996.7541950003,1761811.9550299998,-351815.20083499956
235,1245404.6568250002,1306423.0260249996,-61018.369199999375
236,1904320.4448950002,1560844.5298499996,343475.9150450006
237,1924995.1977200003,1781056.7689625,143938.42875750037
238,1719712.0897350006,1850473.03882,-130760.94908499927
239,1938795.3584775005,1705224.1892999997,233571.16917750076
240,1487313.3792950006,1822840.9572474991,-335527.57795249857
241,1851673.7158550003,1392259.5091249996,459414.2067300007
242,1747460.6004750002,1580557.4544499998,166903.14602500037
243,1958491.2484450003,2304499.7557925,-346008.5073474997
244,1884270.9223950002,1620244.0375374998,264026.88485750044
245,1233596.7055450005,1097876.0173849994,135720.68816000107
246,1867829.0772775004,1655978.9546474998,211850.12263000058
247,1459515.3839300002,1321463.893975,138051.48995500035
248,1755135.1984550005,1980466.8920249995,-225331.69356999896
249,1744603.7108,1578181.1450499992,166422.56575000077
250,1848636.263,1671528.7357449995,177107.52725500055
251,1640552.3648700004,2183972.7133799996,-543420.3485099992
252,1356299.804425,1305825.2849024995,50474.51952250046
253,2083231.9531750004,1956735.8374374998,126496.1157375006
254,1075232.9397375002,1041588.4032749995,33644.53646250069
255,1808868.7781300002,1701750.6738999998,107118.1042300004
256,1617693.0621425,1759046.6797999996,-141353.61765749962
257,1828850.1295700003,1702675.9917999997,126174.13777000061
258,1763702.0003700005,1618403.5321,145298.46827000054
259,1820071.7832500003,2057478.2551,-237406.47184999962
260,1980967.5446950004,1697284.2040424997,283683.34065250074
261,1656836.38245,1706518.9514499998,-49682.5689999999
262,1726495.5142950004,1577092.7998499996,149402.71444500075
263,1942339.9951750003,1695554.722675,246785.2725000002
264,1817855.5926450007,2045281.3759749997,-227425.78332999907
265,1910691.2259625006,1600493.5235749995,310197.702387501
266,1191462.5513925,1677491.0462249997,-486028.49483249965
267,1824537.4102200007,1637222.2707999994,187315.1394200013
268,1801583.735125,1544657.6850349996,256926.05009000027
269,1909762.66315,1759325.8487624996,150436.8143875003
270,1736145.9168700003,1631955.1483675,104190.76850250037
271,1789715.1741525002,1756925.3317124995,32789.842440000735
272,1808237.4569350006,1625287.552335,182949.9046000007
273,1865343.7923750002,2134143.9289875,-268800.1366124996
274,1788584.4324,2058106.0560249994,-269521.6236249993
275,1820855.253775,2152622.509875,-331767.2560999999
276,1624054.1049500003,2003624.004975,-379569.90002499963
277,1903892.977495,1695982.9048824997,207910.07261250028
278,1872598.6842050005,1771832.5657499996,100766.11845500092
279,1369097.2010700007,1867085.2125624996,-497988.0114924989
280,1309943.8816250004,1319195.5263749994,-9251.644749999046
281,1826840.3077950005,1734557.6632174999,92282.64457750064
282,1863177.5530700006,1657762.5760874997,205414.97698250087
283,1796848.4037450003,1638020.4362249996,158827.96752000065
284,1865648.75042,1691160.4531499997,174488.2972700002
285,1771159.9653775003,1532481.7730749995,238678.19230250083
286,1896301.5907700001,1636780.0249174996,259521.5658525005
287,1259530.4752700003,1134287.9654499998,125242.5098200005
288,1767057.74866,2243989.4607449993,-476931.7120849993
289,1878500.4507175002,2080072.4188799998,-201571.9681624996
290,1377908.6223450005,1744367.7710774995,-366459.148732499
291,1642786.961025,1639240.8654499995,3546.095575000625
292,1761647.31227,1609665.7757749998,151981.53649500036
293,1991474.5125275003,2329375.4934325,-337900.98090499965
294,1947588.4433950004,1770334.7091625,177253.73423250043
295,1696240.1062200007,1501616.9963249995,194623.10989500117
296,1212494.4853200004,1039656.7909499996,172837.69437000086
297,1616421.1278750005,1519338.1790349996,97082.9488400009
298,1858673.4485275005,2253592.6509499997,-394919.2024224992
299,1210002.0686500007,1718932.9596874993,-508930.8910374986
300,1497575.5637500007,1091832.4514749995,405743.1122750011
301,1405924.4592050007,1211756.4657849998,194167.9934200009
302,1896906.1547700004,1710248.9287249998,186657.2260450006
303,1255047.4686325004,1335763.0286749997,-80715.56004249933
304,1717876.9412450003,1533164.5614749999,184712.37977000047
305,1842117.2079050003,2049559.609785,-207442.4018799998
306,1827563.2189375001,1684880.0362499992,142683.18268750096
307,1737188.331525,2006329.1783925,-269140.8468674999
308,1198951.5552375002,1141481.1926999998,57470.36253750045
309,1747195.455525,1618479.2142499997,128716.24127500039
310,1850819.1201700002,2168851.9115999998,-318032.7914299995
311,1777740.5046,1673058.6946924997,104681.8099075004
312,1792101.1410750002,1635532.3739249997,156568.76715000044
313,1902399.5602200003,1667154.3480199997,235245.21220000065
314,1863194.2974200004,1594365.0702000002,268829.22722000023
315,1588878.0372050004,1289632.6112249997,299245.42598000076
316,1765753.52952,1735945.7395999997,29807.78992000036
317,1749159.4448025005,1703337.2020249995,45822.242777501
318,1645616.9807700005,2198862.4257999994,-553245.4450299989
319,1427982.5594200005,1157978.7726274997,270003.7867925009
320,1486983.6251000003,1266758.5766174996,220225.04848250072
321,1786907.9836525004,1772325.9185875,14582.065065000439
322,1454382.5192700005,1203051.8464924996,251330.67277750093
323,1614682.3191,1971899.0464749995,-357216.72737499955
324,1780219.2986700006,1721538.2988499997,58680.99982000096
325,1799384.1458525,1917837.2676874993,-118453.12183499918
326,1833671.0643875003,2200764.1898999996,-367093.12551249936
327,1474183.2693050005,1304681.1916999999,169502.0776050007
328,1836478.0991200001,1611192.9499749998,225285.14914500038
329,1867718.2840625,2222363.8344199997,-354645.5503574996
330,1699687.1339750001,1576668.5559749997,123018.57800000045
331,1595688.5359200002,1451763.5520749995,143924.98384500062
332,1783289.2495450005,1708604.3463574997,74684.90318750078
333,2084164.0485500004,1949499.1816875,134664.86686250032
334,1737651.6004825004,1611452.319335,126199.2811475005
335,1494349.2473425006,1805829.3363699997,-311480.0890274991
336,1226859.5878100002,1288506.6262099997,-61647.038399999496
337,1920983.4681950002,1612139.8548274997,308843.6133675005
338,1984265.2739700004,1776295.7348925,207969.53907750035
339,1748479.9555424994,1636541.0819249996,111938.87361749983
340,1407094.7463300005,1329650.6277999997,77444.1185300008
341,1819927.8754125002,1558587.8490749998,261340.02633750043
342,1797481.6649700003,1615643.5690924998,181838.09587750048
343,1548595.8707750002,1765656.2084549996,-217060.33767999941
344,1740739.1235500001,1645971.9413999994,94767.1821500007
345,1710507.6295000005,2150193.4068499994,-439685.77734999894
346,1873834.5986025003,1658661.3130499995,215173.28555250075
347,1673586.64445,1895646.0038249998,-222059.35937499977
348,1830080.6811625003,2114452.4607249997,-284371.7795624994
349,1732444.6638950002,1658820.7323624997,73623.93153250054
350,1713637.9641750003,1954777.8044999996,-241139.8403249993
351,1919153.0754200006,1756138.8043125002,163014.27110750042
352,2126760.90601,1292226.7951700003,834534.1108399997
353,1803786.1971200004,1665389.8225249997,138396.37459500064
354,1748929.5504500002,1572891.5680524998,176037.98239750043
355,1768980.2339750002,1642653.5402999998,126326.69367500045
356,1860239.4836275005,1721689.4893375,138549.99429000053
357,1906827.3677850002,1771222.2920699997,135605.0757150005
358,1843488.4338000002,1718932.9596874998,124555.47411250044
359,1960317.9928200005,1972782.4250874997,-12464.432267499156
360,1720279.2136525006,1704740.7730499997,15538.440602500923
361,1866453.5496700003,2023012.5630924995,-156559.01342249918
362,1685474.6746500002,2039158.8806999996,-353684.20604999945
363,1818375.0333700005,2096396.23727,-278021.2038999994
364,1905603.4316450004,1189934.1394424997,715669.2922025006
365,1508839.8544200005,1772668.7806824998,-263828.9262624993
366,1912372.5238675007,1735128.3591499995,177244.16471750126
367,1706112.2402750002,1689053.4269749997,17058.813300000504
368,1929060.4283950003,2135039.797075,-205979.36867999984
369,1675663.1403750002,1552245.8250349998,123417.31534000044
370,1849458.1217200002,1645523.9396849996,203934.18203500053
371,1908292.9817450002,1768205.0128274998,140087.96891750046
372,1934614.0898775004,1772778.41132,161835.67855750048
373,1952460.1331500004,2425238.5694424994,-472778.4362924991
374,1634215.0761750005,1504750.2664749997,129464.8097000008
375,1855791.4157550004,1733767.0641999994,122024.35155500099
376,1935202.4548200003,2118576.222645,-183373.76782499976
377,1757282.2487000006,1628912.5285624997,128369.7201375009
378,1225753.234025,1671348.2856249996,-445595.05159999966
379,1312076.0917950005,1760443.1600874998,-448367.0682924993
380,1884331.8464200003,2020017.4792674999,-135685.63284749957
381,1874512.0502200006,2215899.7866999996,-341387.73647999903
382,1398553.5485950008,1603529.5076749995,-204975.95907999878
383,1705465.125095,2098903.3911699997,-393438.2660749997
384,1495705.4973500003,1322771.1239874996,172934.3733625007
385,1728405.2826275001,1456696.9855249994,271708.2971025007
386,1829475.2328700004,1164747.8788749995,664727.353995001
387,1856279.0587350002,2417428.3516450003,-561149.2929100001
388,1761455.7252125004,1650139.5511499995,111316.17406250094
389,1883450.9045750003,1770114.9399124999,113335.96466250042
390,1712484.0460950003,1591275.7557499995,121208.2903450008
391,1480563.3196950003,1991537.58953,-510974.2698349997
392,1904535.8886200006,1916045.1712124993,-11509.282592498697
393,1465116.9834375004,2009907.5257699995,-544790.542332499
394,1360538.1194450003,1245901.1596349997,114636.95981000061
395,1788276.7137300002,1715390.5213949997,72886.1923350005
396,1295375.9422250004,1637636.2865999995,-342260.3443749992
397,2007729.6556450003,2454660.3279625,-446930.67231749976
398,1643947.1427500006,1318705.0310599995,325242.1116900011
399,1971403.0325275,2083083.562945,-111680.53041749983
400,1673208.1147750001,1699772.6290999996,-26564.514324999414
401,1877755.1583,1706439.0935924996,171316.0647075004
402,1903709.9099950003,1568811.3834124994,334898.5265825009
403,1603760.2858375004,1481090.9143749995,122669.37146250089
404,1364720.8858450002,1751354.2109924997,-386633.32514749956
405,1751552.763775,1694424.6897674997,57128.07400750043
406,1687187.4368250002,1577793.4754749995,109393.9613500007
407,1920089.7340950004,1681801.0867174994,238288.647377501
408,1976736.5194700006,2340749.2332125,-364012.71374249924
409,1797071.1672125005,1559515.1023249996,237556.06488750083
410,1828205.3223700004,1475410.6678999995,352794.6544700009
411,1674914.18625,1739204.1019499998,-64289.91569999978
412,1748473.5872499999,1610551.9588,137921.62844999996
413,1881708.2037025003,1643269.7951874994,238438.40851500095
414,1623117.0571700004,1461413.2811499995,161703.77602000092
415,1869500.9501950003,1626588.3070749997,242912.6431200006
416,1672476.7742200007,1538964.8768749996,133511.8973450011
417,1202473.81066,1129218.1669099997,73255.64375000028
418,1638282.3281500002,1969298.4858999995,-331016.1577499993
419,1623527.5168249998,1618022.0953374999,5505.42148749996
420,1838720.5096525005,1714630.7724174995,124089.73723500106
421,1760734.5671,2145030.7765625003,-384296.2094625002
422,1771340.3634825002,1615903.5559424995,155436.80754000065
423,1966654.0971550003,2247013.6300999997,-280359.5329449994
424,1609483.310095,1438091.8661249997,171391.44397000037
425,1996393.3534625005,1980671.3349249999,15722.01853750064
426,1810350.0896775003,1546792.4407249994,263557.6489525009
427,1927902.6358700003,1675306.5291999998,252596.1066700006
428,1690491.1253450005,1528987.9708499997,161503.15449500084
429,1656648.1026375003,1903898.0450749998,-247249.94243749953
430,1679409.94745,1517139.6566499996,162270.29080000054
431,1940065.6306550002,1707007.5509749998,233058.07968000043
432,2058216.9224750001,1763420.8502124995,294796.07226250065
433,1733077.9188200005,1938285.7842249998,-205207.86540499935
434,1975106.2979950006,1783823.6303174999,191282.66767750075
435,1416521.2794700004,1912623.6743249993,-496102.3948549989
436,1987884.4421450007,2114338.3352375,-126453.89309249911
437,1810129.44762,2112423.52045,-302294.0728300002
438,1944993.62137,1667526.6693999995,277466.9519700005
439,1232050.1474000001,1596733.9464749994,-364683.7990749993
440,1292448.0880500001,1550730.1661349996,-258282.07808499946
441,1868835.161125,1656984.874895,211850.2862300002
442,1936088.0028450005,1720010.9046424998,216077.09820250073
443,1830682.06413,2102838.031325,-272155.9671949998
444,1887154.9359700005,1735004.0550874998,152150.88088250067
445,1751863.8122000003,1566654.4363124995,185209.37588750082
446,1932159.6368775005,1726645.1600949997,205514.47678250074
447,1816375.8646700005,2220750.27006,-404374.4053899995
448,1293721.8092950003,1183313.1286999995,110408.68059500074
449,1997113.8670950003,2530319.7818675,-533205.9147724996
450,1707782.4216375004,1605200.4291249996,102581.99251250084
451,1727398.6824700006,1672378.2448749996,55020.437595000956
452,1709940.1620325,1676311.7938749993,33628.368157500634
453,1815092.4578350005,1711727.9461499997,103364.51168500073
454,1808009.3127550003,2290088.641225,-482079.3284699996
455,1874540.6798700003,1665382.7885424995,209157.8913275008
456,1970352.1547125005,1639865.73485,330486.4198625006
457,1913827.4562950004,1693426.6405999996,220400.8156950008
458,1536105.2794925,1460354.7988749996,75750.48061750038
459,1324007.9593275008,1485607.1057124997,-161599.14638499892
460,1709661.8544200005,2022686.0042749995,-313024.14985499904
461,1868800.8960450003,1629788.9105124995,239011.98553250078
462,2054228.3724,1746575.1915474997,307653.18085250026
463,1646732.5081000002,1954505.60135,-307773.0932499997
464,1750982.0816950004,1643087.6648249994,107894.416870001
465,1922918.7443375005,1703618.58735,219300.1569875006
466,1886195.40016,2178812.1914499993,-292616.7912899994
467,1978122.3393775003,1721923.8627125002,256198.4766650002
468,1871448.2945200005,1633062.2442499998,238386.0502700007
469,1075232.9397375004,1365634.2351999995,-290401.29546249914
470,1886423.0056775005,1792901.6424874999,93521.36319000064
471,1960528.1533700002,1687054.8634174997,273473.2899525005
472,1686540.2882125005,1924435.7433249997,-237895.45511249918
473,1321184.8697775006,1132559.2304924997,188625.63928500097
474,1366846.6443450004,1201706.8937249996,165139.75062000076
475,1816205.8463100002,1661695.4421849996,154510.40412500058
476,1834623.2250750002,1570179.4793499995,264443.74572500074
477,1674217.7132075,1552872.9644999998,121344.74870750029
478,1958832.4143200004,1753030.5798424997,205801.83447750076
479,1775836.2288000004,1723629.0721924999,52207.15660750051
480,1886730.4063675005,1762435.4459999998,124294.96036750078
481,1930737.3816500003,2209316.0846949997,-278578.7030449994
482,1715242.2675375002,1455532.7247849996,259709.54275250062
483,1835332.8535200004,1555189.1966499994,280143.656870001
