id,s,ed,src,decision,stop_basis,cash_before
871,NIFTYBEES,2026-04-01,etf_tradebook,taken,assumed 5pct because original unknown,6000000.0
872,NIFTYBEES,2026-04-02,etf_tradebook,taken,assumed 5pct because original unknown,5498943.552674999
705,BUILDPRO,2026-04-15,tis,taken,assumed 5pct because original unknown,5465274.306174999
709,FRACTAL,2026-04-15,canslim,taken,recorded initial stop,4964675.409874999
715,RSL,2026-04-15,canslim,taken,recorded initial stop,4463882.750374999
719,STAR,2026-04-15,tis,taken,recorded initial stop,3962740.769749999
721,TDPOWERSYS,2026-04-15,tis,taken,recorded initial stop,3462066.8463499993
729,GSPCROP,2026-04-15,tis,taken,recorded initial stop,2960896.1240499993
740,BELRISE,2026-04-15,tis,taken,assumed 5pct because original unknown,2459911.1549749994
845,SMALLCAP,2026-04-15,etf_tis,taken,assumed 5pct because original unknown,1958848.0710999994
851,SILVERCASE,2026-04-15,etf_tis,taken,assumed 5pct because original unknown,1457603.2038999994
867,LENSKART,2026-04-15,tradebook,taken,assumed 5pct because original unknown,956354.1562749994
878,RUBICON,2026-04-15,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
880,UTLSOLAR,2026-04-15,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
706,CEINSYS,2026-04-16,canslim,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
707,CLEANMAX,2026-04-16,canslim,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
712,ICICIAMC,2026-04-16,tis,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
720,SYRMA,2026-04-16,tis,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
862,GMDCLTD,2026-04-16,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
876,QPOWER,2026-04-16,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
708,EMMVEE,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
710,GMDCLTD,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
711,GVT&D,2026-04-17,canslim,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
713,NATCOPHARM,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
714,RISHABH,2026-04-17,tis,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
716,SAKAR,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
717,SHRIPISTON,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
722,TENNIND,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
856,AEQUS,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
873,PFOCUS,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
879,SMSPHARMA,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
733,NMDC,2026-04-22,tis,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
874,PFOCUS,2026-04-22,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
731,LAURUSLABS,2026-04-23,tis,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
865,KINGFA,2026-04-23,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
854,ABSLAMC,2026-04-24,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
857,AUBANK,2026-04-24,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
861,GLENMARK,2026-04-24,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
877,RHETAN,2026-04-24,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
882,RHETAN,2026-04-24,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,455356.8564499994
723,GPIL,2026-04-27,tis,cash unavailable at entry including costs,recorded initial stop,455356.8564499994
