id,s,ed,xd,entry,xp,exit_raw,share_factor,stop,qty_actual,actual_pnl,stop_pct,missing_stop,old_stop_missing,ret,why,src,stop_basis,actual_exit_date,actual_exit_price,tie,qty,deploy,cost,net
871,NIFTYBEES,2026-04-01,2026-05-13,259.91,265.04,265.04,1.0,246.9145,1500,-300.11,5.000000000000004,False,True,1.463891347004731,close_stop,etf_tradebook,assumed 5pct because original unknown,2026-04-01,259.71,871,1923,499806.93000000005,1249.5173250000003,6067.113074999999
705,BUILDPRO,2026-04-15,2026-04-24,1119.62,1151.35,1151.35,1.0,1063.639,100,-4958.75,5.000000000000004,False,True,2.319827262821317,close_stop,tis,assumed 5pct because original unknown,2026-05-04,1070.03,705,446,499350.51999999996,1248.3763,10335.693200000003
709,FRACTAL,2026-04-15,2026-05-13,859.8,931.646,931.646,1.0,827.0,150,18258.05,3.8148406606187457,False,False,7.814348685740868,disaster,canslim,recorded initial stop,2026-05-13,981.52,709,581,499543.8,1248.8595,37787.23487
715,RSL,2026-04-15,2026-05-19,130.35,133.05,133.05,1.0,117.28,1000,-845.47,10.026850786344454,False,False,1.560989643268118,close_stop,canslim,recorded initial stop,2026-05-27,129.5,715,3835,499892.25,1249.730625,6553.5356250000095
719,STAR,2026-04-15,2026-05-04,1004.88,1053.3,1053.3,1.0,954.65,100,13622.2,4.998606798821747,False,False,4.29439336040125,close_stop,tis,recorded initial stop,2026-05-19,1141.11,719,497,499425.36,1248.5634,20198.726100000003
721,TDPOWERSYS,2026-04-15,2026-06-11,950.42,1145.2,1145.2,1.0,914.0,100,22867.0,3.8319900675490848,False,False,19.891626859704136,close_stop,tis,recorded initial stop,2026-06-01,1179.09,721,526,499920.92,1249.8023,98192.60169999998
729,GSPCROP,2026-04-15,2026-05-12,403.99,411.55,411.55,1.0,374.0,250,5689.8,7.42345107552167,False,False,1.3619767816035022,close_stop,tis,recorded initial stop,2026-06-02,426.75,729,1237,499735.63,1249.339075,5556.944175000004
740,BELRISE,2026-04-15,2026-04-27,207.65,214.05,214.05,1.0,197.26749999999998,500,-35.84,5.000000000000016,False,True,2.566698771972087,close_stop,tis,assumed 5pct because original unknown,2026-04-30,207.57,740,2407,499813.55,1249.533875,11579.174375000046
845,SMALLCAP,2026-04-15,2026-05-13,42.56,44.77,44.77,1.0,40.432,3000,15450.0,5.000000000000004,False,True,4.666705827067674,close_stop,etf_tis,assumed 5pct because original unknown,2026-09-16,47.71,845,11748,499994.88,1249.9872,22083.303000000025
851,SILVERCASE,2026-04-15,2026-04-29,25.31,23.24,23.24,1.0,24.0445,10000,-25900.0,4.999999999999993,False,True,-8.637692611615966,close_stop,etf_tis,assumed 5pct because original unknown,2026-09-15,22.72,851,19755,499999.05,1249.997625,-44438.37862499998
867,LENSKART,2026-04-15,2026-04-30,550.99,511.75,511.75,1.0,523.4404999999999,200,-4407.8,5.000000000000016,False,True,-7.586117715385033,close_stop,tradebook,assumed 5pct because original unknown,2026-04-20,528.95,867,907,499747.93,1249.369825,-39160.836074999985
