date,equity,positions,drawdown
2026-04-01,5991544.520925,1,-8455.47907499969
2026-04-02,5991850.662525,1,-8149.337474999949
2026-04-06,5996901.998925,1,-3098.001074999571
2026-04-07,5999236.328625,1,-763.671374999918
2026-04-08,6018771.989475,1,0.0
2026-04-09,6014581.676325,1,-4190.313149999827
2026-04-10,6019288.603425,1,0.0
2026-04-13,6014639.0778749995,1,-4649.52555000037
2026-04-15,5950215.9877,11,-69072.61572499946
2026-04-16,5980720.528550001,11,-38568.074874999
2026-04-17,6038493.83045,11,0.0
2026-04-20,6073217.668799999,11,0.0
2026-04-21,6108189.699949998,11,0.0
2026-04-22,6145357.168749999,11,0.0
2026-04-23,6179948.7815499995,11,0.0
2026-04-24,6139002.770400002,11,-40946.01114999782
2026-04-27,6196511.5117500005,11,0.0
2026-04-28,6215443.734950001,11,0.0
2026-04-29,6159520.23755,10,-55923.49740000162
2026-04-30,6176076.394699999,10,-39367.34025000222
2026-05-04,6267455.48075,11,0.0
2026-05-05,6305496.65905,11,0.0
2026-05-06,6436866.5986,11,0.0
2026-05-07,6606016.916999999,11,0.0
2026-05-08,6500583.831499998,11,-105433.08550000098
2026-05-11,6478271.7524999995,11,-127745.16449999996
2026-05-12,6366470.718242499,10,-239546.1987575004
2026-05-13,6339225.757692498,9,-266791.1593075013
2026-05-14,6355628.966967501,11,-250387.9500324987
2026-05-15,6456021.233217499,11,-149995.68378250021
2026-05-18,6372763.4739175,11,-233253.44308249932
2026-05-19,6302861.2613175,10,-303155.6556824995
2026-05-20,6287899.895517499,10,-318117.02148250025
2026-05-21,6316144.6157174995,11,-289872.3012824999
2026-05-22,6347087.603317501,10,-258929.3136824984
2026-05-25,6475467.901617499,11,-130549.01538250037
2026-05-26,6534325.9425675,11,-71690.97443249915
2026-05-27,6605787.718167499,10,-229.19883250072598
2026-05-29,6583807.7001175,11,-22209.216882499866
2026-06-01,6504276.2655675,11,-101740.65143249929
2026-06-02,6546501.7074175,10,-59515.20958249923
2026-06-03,6608239.059467499,10,0.0
2026-06-04,6604865.3815175,11,-3373.677949999459
2026-06-05,6518756.098917501,11,-89482.9605499981
2026-06-08,6338205.3690175,10,-270033.6904499987
2026-06-09,6383848.884617501,9,-224390.1748499982
2026-06-10,6253919.3866675,9,-354319.6727999989
2026-06-11,6201072.658117501,8,-407166.4013499981
2026-06-12,6331878.512267499,6,-276360.5471999999
2026-06-15,6385798.4876175,6,-222440.57184999902
2026-06-16,6425490.0425675,6,-182749.01689999923
2026-06-17,6453625.408817501,6,-154613.65064999834
2026-06-18,6516857.708567499,6,-91381.35089999996
2026-06-19,6551930.491417501,7,-56308.56804999802
2026-06-22,6673051.045417501,7,0.0
2026-06-23,6602180.0723425,9,-70870.97307500057
2026-06-24,6590355.307192499,10,-82695.73822500184
2026-06-25,6643901.192392501,7,-29149.85302499961
2026-06-29,6668948.526392499,7,-4102.519025001675
2026-06-30,6680743.226542501,7,0.0
2026-07-01,6681575.942042501,7,0.0
2026-07-02,6658726.170642501,8,-22849.77139999997
2026-07-03,6627079.915442501,9,-54496.02659999952
2026-07-06,6746339.6602425,9,0.0
2026-07-07,6763869.361292499,9,0.0
2026-07-08,6726268.783342502,10,-37600.57794999704
2026-07-09,6864283.666392501,11,0.0
2026-07-10,6915861.9092425,11,0.0
2026-07-13,6844216.6357425,11,-71645.2734999992
2026-07-14,6751011.413692501,11,-164850.49554999825
2026-07-15,6824263.0052424995,10,-91598.9040000001
2026-07-16,6856427.126492499,10,-59434.782750000246
2026-07-17,6672558.778042501,9,-243303.13119999878
2026-07-20,6707712.061692501,8,-208149.8475499982
2026-07-21,6743606.1195425,8,-172255.78969999962
2026-07-22,6690850.035492499,7,-225011.87375000026
2026-07-23,6633272.340642502,7,-282589.568599998
2026-07-24,6552816.3649925,6,-363045.54424999934
2026-07-27,6583085.707742501,8,-332776.20149999857
2026-07-28,6551186.4294925,10,-364675.47974999994
2026-07-29,6644787.1441425,8,-271074.7650999995
2026-07-30,6636952.875917499,10,-278909.03332500067
2026-07-31,6660447.502467498,10,-255414.40677500144
2026-08-03,6740687.903767501,11,-175174.00547499862
2026-08-04,6856335.749917499,12,-59526.15932500083
2026-08-05,7005273.429367499,12,0.0
2026-08-06,6984081.471617499,12,-21191.95775000006
2026-08-07,7044980.472192502,12,0.0
2026-08-10,7022449.1349925,12,-22531.337200001813
2026-08-11,7089785.6803925,11,0.0
2026-08-12,7111700.963342502,11,0.0
2026-08-13,7173671.1752425,11,0.0
2026-08-14,7072656.674717499,12,-101014.50052500144
2026-08-17,6972304.2383175,11,-201366.9369250005
2026-08-18,7037662.1341175,12,-136009.04112500045
2026-08-19,7073121.973967502,11,-100549.20127499849
2026-08-20,7110471.4623175,12,-63199.712925000116
2026-08-21,7236010.094917499,12,0.0
2026-08-24,7277744.245567499,12,0.0
2026-08-25,7203111.0208975,11,-74633.22466999851
2026-08-26,7216615.0399974985,12,-61129.205570000224
2026-08-27,7247399.195747498,12,-30345.049820000306
2026-08-28,7404452.5230475,12,0.0
2026-08-31,7436265.9764475,12,0.0
2026-09-01,7449162.758497499,12,0.0
2026-09-02,7348026.9685475,12,-101135.78994999919
2026-09-03,7423266.1621475015,11,-25896.596349997446
2026-09-04,7354615.052597499,11,-94547.70589999948
