id,s,ed,src,decision,stop_basis,cash_before
871,NIFTYBEES,2026-04-01,etf_tradebook,taken,assumed 5pct because original unknown,6000000.0
872,NIFTYBEES,2026-04-02,etf_tradebook,same stock already held,assumed 5pct because original unknown,5498943.552674999
878,RUBICON,2026-04-15,tradebook,taken,assumed 5pct because original unknown,5498943.552674999
740,BELRISE,2026-04-15,tis,taken,assumed 5pct because original unknown,4997845.932674999
867,LENSKART,2026-04-15,tradebook,taken,assumed 5pct because original unknown,4496782.8488
845,SMALLCAP,2026-04-15,etf_tis,taken,assumed 5pct because original unknown,3995785.5489749997
851,SILVERCASE,2026-04-15,etf_tis,taken,assumed 5pct because original unknown,3494540.681775
705,BUILDPRO,2026-04-15,tis,taken,assumed 5pct because original unknown,2993291.63415
715,RSL,2026-04-15,canslim,taken,recorded initial stop,2492692.7378499997
709,FRACTAL,2026-04-15,canslim,taken,recorded initial stop,1991550.7572249996
880,UTLSOLAR,2026-04-15,tradebook,taken,assumed 5pct because original unknown,1490758.0977249995
721,TDPOWERSYS,2026-04-15,tis,taken,recorded initial stop,989688.5978499996
719,STAR,2026-04-15,tis,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
729,GSPCROP,2026-04-15,tis,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
862,GMDCLTD,2026-04-16,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,488517.8755499996
712,ICICIAMC,2026-04-16,tis,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
720,SYRMA,2026-04-16,tis,cash unavailable at entry including costs,assumed 5pct because original unknown,488517.8755499996
876,QPOWER,2026-04-16,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,488517.8755499996
707,CLEANMAX,2026-04-16,canslim,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
706,CEINSYS,2026-04-16,canslim,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
873,PFOCUS,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,488517.8755499996
708,EMMVEE,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
879,SMSPHARMA,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,488517.8755499996
722,TENNIND,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
717,SHRIPISTON,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
710,GMDCLTD,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
714,RISHABH,2026-04-17,tis,cash unavailable at entry including costs,assumed 5pct because original unknown,488517.8755499996
716,SAKAR,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
856,AEQUS,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,488517.8755499996
713,NATCOPHARM,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
711,GVT&D,2026-04-17,canslim,cash unavailable at entry including costs,recorded initial stop,488517.8755499996
