id,s,ed,src,decision,stop_basis,cash_before
871,NIFTYBEES,2026-04-01,etf_tradebook,taken,assumed 5pct because original unknown,6000000.0
872,NIFTYBEES,2026-04-02,etf_tradebook,same stock already held,assumed 5pct because original unknown,5498943.552674999
878,RUBICON,2026-04-15,tradebook,taken,assumed 5pct because original unknown,5498943.552674999
867,LENSKART,2026-04-15,tradebook,taken,assumed 5pct because original unknown,4997845.932674999
719,STAR,2026-04-15,tis,taken,recorded initial stop,4496848.63285
715,RSL,2026-04-15,canslim,taken,recorded initial stop,3996174.70945
880,UTLSOLAR,2026-04-15,tradebook,taken,assumed 5pct because original unknown,3495032.728825
740,BELRISE,2026-04-15,tis,taken,assumed 5pct because original unknown,2993963.22895
729,GSPCROP,2026-04-15,tis,taken,recorded initial stop,2492900.145075
721,TDPOWERSYS,2026-04-15,tis,taken,recorded initial stop,1991915.176
845,SMALLCAP,2026-04-15,etf_tis,taken,assumed 5pct because original unknown,1490744.4537
709,FRACTAL,2026-04-15,canslim,taken,recorded initial stop,989499.5865
705,BUILDPRO,2026-04-15,tis,cash unavailable at entry including costs,assumed 5pct because original unknown,488706.92699999997
851,SILVERCASE,2026-04-15,etf_tis,cash unavailable at entry including costs,assumed 5pct because original unknown,488706.92699999997
707,CLEANMAX,2026-04-16,canslim,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
862,GMDCLTD,2026-04-16,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,488706.92699999997
706,CEINSYS,2026-04-16,canslim,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
720,SYRMA,2026-04-16,tis,cash unavailable at entry including costs,assumed 5pct because original unknown,488706.92699999997
712,ICICIAMC,2026-04-16,tis,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
876,QPOWER,2026-04-16,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,488706.92699999997
713,NATCOPHARM,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
711,GVT&D,2026-04-17,canslim,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
708,EMMVEE,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
714,RISHABH,2026-04-17,tis,cash unavailable at entry including costs,assumed 5pct because original unknown,488706.92699999997
879,SMSPHARMA,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,488706.92699999997
716,SAKAR,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
710,GMDCLTD,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
873,PFOCUS,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,488706.92699999997
722,TENNIND,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
717,SHRIPISTON,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
856,AEQUS,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,488706.92699999997
733,NMDC,2026-04-22,tis,cash unavailable at entry including costs,recorded initial stop,488706.92699999997
