id,s,ed,src,decision,stop_basis,cash_before
871,NIFTYBEES,2026-04-01,etf_tradebook,no usable initial stop,,
863,JAINREC,2026-05-18,tradebook,no usable initial stop,,
852,JUNIORBEES,2026-09-07,etf_tis,no usable initial stop,,
872,NIFTYBEES,2026-04-02,etf_tradebook,taken,calculated new stop from prior bars,6000000.0
705,BUILDPRO,2026-04-15,tis,taken,calculated new stop from prior bars,5498883.7335
709,FRACTAL,2026-04-15,canslim,taken,recorded initial stop,4998284.8372
715,RSL,2026-04-15,canslim,taken,recorded initial stop,4497492.1777
719,STAR,2026-04-15,tis,taken,recorded initial stop,3996350.197075
721,TDPOWERSYS,2026-04-15,tis,taken,recorded initial stop,3495676.2736750003
729,GSPCROP,2026-04-15,tis,taken,recorded initial stop,2994505.5513750003
740,BELRISE,2026-04-15,tis,taken,calculated new stop from prior bars,2493520.5823000004
845,SMALLCAP,2026-04-15,etf_tis,taken,calculated new stop from prior bars,1992457.4984250003
851,SILVERCASE,2026-04-15,etf_tis,taken,calculated new stop from prior bars,1491212.6312250004
867,LENSKART,2026-04-15,tradebook,taken,calculated new stop from prior bars,989963.5836000004
878,RUBICON,2026-04-15,tradebook,cash unavailable at entry including costs,calculated new stop from prior bars,488966.28377500037
880,UTLSOLAR,2026-04-15,tradebook,cash unavailable at entry including costs,calculated new stop from prior bars,488966.28377500037
706,CEINSYS,2026-04-16,canslim,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
707,CLEANMAX,2026-04-16,canslim,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
712,ICICIAMC,2026-04-16,tis,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
720,SYRMA,2026-04-16,tis,cash unavailable at entry including costs,calculated new stop from prior bars,488966.28377500037
862,GMDCLTD,2026-04-16,tradebook,cash unavailable at entry including costs,calculated new stop from prior bars,488966.28377500037
876,QPOWER,2026-04-16,tradebook,cash unavailable at entry including costs,calculated new stop from prior bars,488966.28377500037
708,EMMVEE,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
710,GMDCLTD,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
711,GVT&D,2026-04-17,canslim,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
713,NATCOPHARM,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
714,RISHABH,2026-04-17,tis,cash unavailable at entry including costs,calculated new stop from prior bars,488966.28377500037
716,SAKAR,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
717,SHRIPISTON,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
722,TENNIND,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
856,AEQUS,2026-04-17,tradebook,cash unavailable at entry including costs,calculated new stop from prior bars,488966.28377500037
873,PFOCUS,2026-04-17,tradebook,cash unavailable at entry including costs,calculated new stop from prior bars,488966.28377500037
879,SMSPHARMA,2026-04-17,tradebook,cash unavailable at entry including costs,calculated new stop from prior bars,488966.28377500037
733,NMDC,2026-04-22,tis,cash unavailable at entry including costs,recorded initial stop,488966.28377500037
874,PFOCUS,2026-04-22,tradebook,cash unavailable at entry including costs,calculated new stop from prior bars,488966.28377500037
