scenario,n,total,closed,open,open_n,closed_win_pct,old_missing_taken
baseline_5pct,48,1236329.9523925001,560333.3930425002,675996.55935,4,43.18181818181818,8
missing_3pct,43,1798330.2896750004,754369.6348250002,1043960.6548499999,5,47.368421052631575,7
missing_8pct,40,1291522.5214250004,536982.1298250004,754540.3916,4,50.0,6
missing_10pct,40,1291522.5214250004,536982.1298250004,754540.3916,4,50.0,6
missing_structural,40,1216465.9450000003,461925.55340000027,754540.3916,4,47.22222222222222,6
known_stops_only,44,1086718.1836175004,460047.0553675002,626671.1282500001,4,47.5,0
research_60session,49,898144.1801925001,727441.9965925004,170702.1835999999,3,43.47826086956522,9
high_sampled,52,1099785.0135975003,345244.62199750036,754540.3916,4,41.66666666666667,10
always_defensive,60,1317637.9010774998,-296451.4483725003,1614089.3494500003,5,45.45454545454545,14
adverse_entry_day,48,1236329.9523925001,560333.3930425002,675996.55935,4,43.18181818181818,8
zero_costs,41,2203386.9650000003,1430002.105,773384.8600000001,4,51.35135135135135,7
old_exit_control,57,1171945.7420249998,190071.91089999973,981873.8311249999,4,33.9622641509434,8
allow_separate_same_stock_lots,44,2162279.6080500004,603563.5605500003,1558716.0475,6,44.73684210526316,7
