source,opportunities,executed,closed,open,total
canslim,5,2,40134.332375000085,0.0,40134.332375000085
etf_tis,10,6,-81729.20550000003,235.79359999996564,-81493.41190000006
etf_tradebook,5,2,-3304.7578750000357,0.0,-3304.7578750000357
manual,14,8,97715.56107499983,505294.37575000006,603009.936825
orb,1,0,0.0,0.0,0.0
orphan_gtt,4,0,0.0,0.0,0.0
sideways,3,3,-4707.804249999994,0.0,-4707.804249999994
strike,2,0,0.0,0.0,0.0
tis,60,23,581932.2348375003,170466.38999999993,752398.6248375002
tradebook,23,1,-39160.836074999985,0.0,-39160.836074999985
unknown,1,0,0.0,0.0,0.0
vcp,3,2,-483.86391999998705,0.0,-483.86391999998705
weekly_tis,1,1,-30062.26762500006,0.0,-30062.26762500006
