id,s,ed,src,decision,stop_basis,cash_before
871,NIFTYBEES,2026-04-01,etf_tradebook,taken,assumed 5pct because original unknown,6000000.0
872,NIFTYBEES,2026-04-02,etf_tradebook,same stock already held,assumed 5pct because original unknown,5500193.07
705,BUILDPRO,2026-04-15,tis,taken,assumed 5pct because original unknown,5500193.07
709,FRACTAL,2026-04-15,canslim,taken,recorded initial stop,5000842.550000001
715,RSL,2026-04-15,canslim,taken,recorded initial stop,4501298.750000001
719,STAR,2026-04-15,tis,taken,recorded initial stop,4001406.500000001
721,TDPOWERSYS,2026-04-15,tis,taken,recorded initial stop,3501981.140000001
729,GSPCROP,2026-04-15,tis,taken,recorded initial stop,3002060.220000001
740,BELRISE,2026-04-15,tis,taken,assumed 5pct because original unknown,2502324.5900000012
845,SMALLCAP,2026-04-15,etf_tis,taken,assumed 5pct because original unknown,2002511.0400000012
851,SILVERCASE,2026-04-15,etf_tis,taken,assumed 5pct because original unknown,1502516.160000001
867,LENSKART,2026-04-15,tradebook,taken,assumed 5pct because original unknown,1002517.110000001
878,RUBICON,2026-04-15,tradebook,taken,assumed 5pct because original unknown,502769.18000000104
880,UTLSOLAR,2026-04-15,tradebook,12 occupied slots,assumed 5pct because original unknown,2921.1800000010408
706,CEINSYS,2026-04-16,canslim,12 occupied slots,recorded initial stop,2921.1800000010408
707,CLEANMAX,2026-04-16,canslim,12 occupied slots,recorded initial stop,2921.1800000010408
712,ICICIAMC,2026-04-16,tis,12 occupied slots,recorded initial stop,2921.1800000010408
720,SYRMA,2026-04-16,tis,12 occupied slots,assumed 5pct because original unknown,2921.1800000010408
862,GMDCLTD,2026-04-16,tradebook,12 occupied slots,assumed 5pct because original unknown,2921.1800000010408
876,QPOWER,2026-04-16,tradebook,12 occupied slots,assumed 5pct because original unknown,2921.1800000010408
708,EMMVEE,2026-04-17,tis,12 occupied slots,recorded initial stop,2921.1800000010408
710,GMDCLTD,2026-04-17,tis,12 occupied slots,recorded initial stop,2921.1800000010408
711,GVT&D,2026-04-17,canslim,12 occupied slots,recorded initial stop,2921.1800000010408
713,NATCOPHARM,2026-04-17,tis,12 occupied slots,recorded initial stop,2921.1800000010408
714,RISHABH,2026-04-17,tis,12 occupied slots,assumed 5pct because original unknown,2921.1800000010408
716,SAKAR,2026-04-17,tis,12 occupied slots,recorded initial stop,2921.1800000010408
717,SHRIPISTON,2026-04-17,tis,12 occupied slots,recorded initial stop,2921.1800000010408
