id,s,ed,xd,entry,xp,exit_raw,share_factor,stop,qty_actual,actual_pnl,stop_pct,missing_stop,old_stop_missing,ret,why,src,stop_basis,actual_exit_date,actual_exit_price,tie,qty,deploy,cost,net
871,NIFTYBEES,2026-04-01,2026-05-13,259.91,265.04,265.04,1.0,246.9145,1500,-300.11,5.000000000000004,False,True,1.463891347004731,close_stop,etf_tradebook,assumed 5pct because original unknown,2026-04-01,259.71,871,1923,499806.93000000005,0.0,9864.98999999999
705,BUILDPRO,2026-04-15,2026-05-22,1119.62,1058.0,1058.0,1.0,1063.639,100,-4958.75,5.000000000000004,False,True,-5.976134760007845,close_stop,tis,assumed 5pct because original unknown,2026-05-04,1070.03,705,446,499350.51999999996,0.0,-27482.519999999953
709,FRACTAL,2026-04-15,2026-05-19,859.8,928.0,928.0,1.0,827.0,150,18258.05,3.8148406606187457,False,False,7.3924168411258595,close_stop,canslim,recorded initial stop,2026-05-13,981.52,709,581,499543.8,0.0,39624.200000000026
715,RSL,2026-04-15,2026-05-25,130.35,132.5,132.5,1.0,117.28,1000,-845.47,10.026850786344454,False,False,1.141158419639443,close_stop,canslim,recorded initial stop,2026-05-27,129.5,715,3835,499892.25,0.0,8245.250000000022
719,STAR,2026-04-15,2026-06-02,1004.88,1094.0,1094.0,1.0,954.65,100,13622.2,4.998606798821747,False,False,8.324377040044585,close_stop,tis,recorded initial stop,2026-05-19,1141.11,719,497,499425.36,0.0,44292.64
721,TDPOWERSYS,2026-04-15,2026-06-09,950.42,1234.9,1234.9,1.0,914.0,100,22867.0,3.8319900675490848,False,False,29.28236989962334,close_stop,tis,recorded initial stop,2026-06-01,1179.09,721,526,499920.92,0.0,149636.48000000007
729,GSPCROP,2026-04-15,2026-06-25,403.99,422.2,422.2,1.0,374.0,250,5689.8,7.42345107552167,False,False,3.984999628703667,close_stop,tis,recorded initial stop,2026-06-02,426.75,729,1237,499735.63,0.0,22525.769999999975
740,BELRISE,2026-04-15,2026-05-13,207.65,207.0,207.0,1.0,197.26749999999998,500,-35.84,5.000000000000016,False,True,-0.8114615940284176,close_stop,tis,assumed 5pct because original unknown,2026-04-30,207.57,740,2407,499813.55,0.0,-1564.5500000000136
845,SMALLCAP,2026-04-15,2026-06-12,42.56,44.0,44.0,1.0,40.432,3000,15450.0,5.000000000000004,False,True,2.866541353383445,close_stop,etf_tis,assumed 5pct because original unknown,2026-09-16,47.71,845,11748,499994.88,0.0,16917.119999999974
851,SILVERCASE,2026-04-15,2026-04-29,25.31,23.24,23.24,1.0,24.0445,10000,-25900.0,4.999999999999993,False,True,-8.637692611615966,close_stop,etf_tis,assumed 5pct because original unknown,2026-09-15,22.72,851,19755,499999.05,0.0,-40892.850000000006
867,LENSKART,2026-04-15,2026-04-30,550.99,511.75,511.75,1.0,523.4404999999999,200,-4407.8,5.000000000000016,False,True,-7.586117715385033,close_stop,tradebook,assumed 5pct because original unknown,2026-04-20,528.95,867,907,499747.93,0.0,-35590.68000000001
878,RUBICON,2026-04-15,2026-09-22,833.08,1720.0,1720.0,1.0,791.426,150,15288.05,5.000000000000004,False,True,105.43045085706053,close_stop,tradebook,assumed 5pct because original unknown,2026-04-20,935.0,878,600,499848.0,0.0,532152.0
739,HFCL,2026-04-30,2026-07-24,109.0,202.0,202.0,1.0,105.0,917,449.0,3.669724770642202,False,False,84.39449541284405,close_stop,tis,recorded initial stop,2026-04-30,109.59,739,4587,499983.0,0.0,426591.0
766,KIRLOSENG,2026-05-13,2026-07-20,1609.88,2255.7,2255.7,1.0,1481.0,230,-11680.9,8.005565632221046,False,False,39.4154533257137,close_stop,manual,recorded initial stop,2026-05-15,1559.1,766,310,499062.80000000005,0.0,200204.1999999999
767,ADANIPOWER,2026-05-14,2026-06-12,218.55,218.44,218.44,1.0,201.0,1500,-2248.63,8.030199039121488,False,False,-0.550080073209791,close_stop,manual,recorded initial stop,2026-05-15,217.05,767,2287,499823.85000000003,0.0,-251.5700000000312
771,BAJAJCON,2026-05-20,2026-07-15,539.86,593.5,593.5,1.0,516.0,434,10384.61,4.419664357426001,False,False,9.38622976327197,close_stop,manual,recorded initial stop,2026-06-24,563.78,771,926,499910.36,0.0,49670.639999999985
775,WELCORP,2026-05-22,2026-09-22,1348.81,2731.5,2731.5,1.0,1208.51,135,134644.95,10.401761552776145,False,False,101.49928455453328,open@end,manual,recorded initial stop,2026-09-16,2346.18,775,370,499059.69999999995,0.0,511595.30000000005
776,LLOYDSME,2026-05-25,2026-06-11,1754.3,1700.0,1700.0,1.0,1605.0,156,-2230.8,8.510517015333752,False,False,-3.579775408995034,close_stop,manual,recorded initial stop,2026-06-08,1740.0,776,285,499975.5,0.0,-15475.499999999987
787,PRECWIRE,2026-06-04,2026-06-08,445.5,391.495,391.495,1.0,412.1,299,-10282.61,7.49719416386082,False,False,-12.56172278338945,disaster,tis,recorded initial stop,2026-06-05,411.11,787,1122,499851.0,0.0,-60593.60999999999
790,SANDHAR,2026-06-19,2026-06-25,719.61,676.3,676.3,1.0,684.0,281,-10503.78,4.948513778296581,False,False,-6.488445130000975,close_stop,tis,recorded initial stop,2026-06-24,682.23,790,694,499409.34,0.0,-30057.14000000004
793,TALBROAUTO,2026-06-23,2026-07-27,379.2,399.0,399.0,1.0,361.2,555,8921.65,4.746835443037978,False,False,4.695411392405058,close_stop,tis,recorded initial stop,2026-08-31,395.28,793,1318,499785.6,0.0,26096.400000000016
797,MARKSANS,2026-06-23,2026-07-22,268.31,245.0,245.0,1.0,255.31,846,-10875.15,4.84514181357385,False,False,-9.144273415079574,disaster,tis,recorded initial stop,2026-06-25,255.45,797,1863,499861.53,0.0,-43426.530000000006
799,SENORES,2026-06-24,2026-06-25,1330.9,1289.9,1289.9,1.0,1285.0,230,-10812.81,3.448794049139692,False,False,-3.565219024720112,close_stop,tis,recorded initial stop,2026-06-24,1283.89,799,375,499087.50000000006,0.0,-15375.0
800,GALAPREC,2026-07-02,2026-07-29,1173.41,1098.0,1098.0,1.0,1085.4,115,-10118.7,7.500362192243115,False,False,-6.894435874928639,close_stop,sideways,recorded initial stop,2026-07-29,1085.42,800,426,499872.66000000003,0.0,-32124.660000000036
809,AEQUS,2026-07-03,2026-07-17,238.7,234.88,234.88,1.0,220.8,558,-10242.51,7.498952660242974,False,False,-2.0923334729786247,close_stop,sideways,recorded initial stop,2026-07-24,220.34,809,2094,499837.8,0.0,-7999.079999999985
802,AMAGI,2026-07-08,2026-08-17,556.7,608.7,608.7,1.0,514.9,240,15147.44,7.508532423208203,False,False,8.794054248248617,close_stop,sideways,recorded initial stop,2026-08-14,619.81,802,898,499916.60000000003,0.0,46696.0
803,RPTECH,2026-07-09,2026-07-20,776.46,734.45,734.45,1.0,736.0,300,-12231.0,5.210828632511655,False,False,-5.883400303943532,close_stop,tis,recorded initial stop,2026-07-17,735.69,803,643,499263.78,0.0,-27012.429999999993
804,LAURUSLABS,2026-07-10,2026-09-22,1534.3,2006.5,2006.5,1.0,1487.3,212,18507.58,3.063286189141623,False,False,30.122368506810915,open@end,strike,recorded initial stop,2026-07-27,1621.6,804,325,498647.5,0.0,153465.00000000003
813,INDSWFTLAB,2026-07-20,2026-07-24,238.0,225.02,225.02,1.0,227.0,909,-10867.32,4.621848739495793,False,False,-5.926512605042012,close_stop,tis,recorded initial stop,2026-07-23,226.04,813,2100,499800.0,0.0,-27257.999999999978
817,CUPID,2026-07-24,2026-09-18,213.84,260.2145,260.2145,1.0,204.84,1111,20155.99,4.208754208754206,False,False,21.078108632622516,disaster,tis,recorded initial stop,2026-07-28,231.99,817,2338,499957.92,0.0,108423.58099999996
818,RPTECH,2026-07-27,2026-08-25,806.96,786.676,786.676,1.0,766.96,247,-10979.15,4.956875185882814,False,False,-3.001063249727376,disaster,vcp,recorded initial stop,2026-07-29,762.51,818,619,499508.24000000005,0.0,-12555.795999999995
819,RRKABEL,2026-07-27,2026-09-03,2549.99,2650.0,2650.0,1.0,2422.99,78,13938.6,4.980411687888974,False,False,3.40236628378936,close_stop,vcp,recorded initial stop,2026-09-02,2728.69,819,196,499798.04,0.0,19601.960000000043
823,NAVINFLUOR,2026-07-27,2026-07-29,7739.36,7598.0,7598.0,1.0,7515.36,25,-6028.0,2.8942961691922897,False,False,-2.3173750801099735,close_stop,tis,recorded initial stop,2026-07-28,7498.24,823,64,495319.04,0.0,-9047.039999999979
828,VADILALIND,2026-07-28,2026-09-11,6865.19,7125.0,7125.0,1.0,6652.19,29,12613.26,3.1026089591111083,False,False,3.2655323450625717,close_stop,tis,recorded initial stop,2026-07-29,7300.13,828,72,494293.68,0.0,18706.32000000003
814,AETHER,2026-07-30,2026-09-16,1513.18,1588.0,1588.0,1.0,1483.68,338,16652.5,1.9495367372024508,False,False,4.41983108420676,close_stop,tis,recorded initial stop,2026-08-06,1562.45,814,330,499349.4,0.0,24690.59999999998
